combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
8,5,5,2026-03-20 22:41:00,133760.0,2026-03-20 22:43:00,133600.0,2,-0.11961722488038277,False,0.11961722488038277,True,1#大阴-0.07%;2#中阳+0.04%;3#长下影阳+0.01%;4#中阳+0.02%;5#大阳+0.07%,中阳
8,5,5,2026-03-20 22:42:00,133570.0,2026-03-20 22:44:00,133490.0,2,-0.05989368870255296,False,0.05989368870255296,True,1#中阳+0.04%;2#长下影阳+0.01%;3#中阳+0.02%;4#大阳+0.07%;5#中阳+0.06%,大阴
8,5,5,2026-03-20 22:55:00,134030.0,2026-03-20 22:57:00,133990.0,2,-0.02984406476162053,False,0.02984406476162053,True,1#中阴-0.04%;2#长上影阳+0.01%;3#大阳+0.10%;4#小阳+0.02%;5#大阳+0.19%,大阴
8,5,5,2026-03-20 23:14:00,134080.0,2026-03-20 23:16:00,133970.0,2,-0.08204057279236276,False,0.08204057279236276,True,1#大阴-0.09%;2#长下影阳+0.01%;3#中阳+0.03%;4#长下影阳+0.02%;5#中阳+0.05%,长下影阳
8,5,5,2026-03-20 23:15:00,134000.0,2026-03-20 23:17:00,133850.0,2,-0.11194029850746269,False,0.11194029850746269,True,1#长下影阳+0.01%;2#中阳+0.03%;3#长下影阳+0.02%;4#中阳+0.05%;5#长下影阳+0.04%,大阴
8,5,5,2026-03-20 23:32:00,134090.0,2026-03-20 23:34:00,134210.0,2,0.08949213215004848,True,-0.08949213215004848,False,1#中阴-0.03%;2#大阳+0.07%;3#倒T+0.01%;4#中阳+0.03%;5#中阳+0.02%,小阴
8,5,5,2026-03-20 23:56:00,133960.0,2026-03-20 23:58:00,134070.0,2,0.08211406389967153,True,-0.08211406389967153,False,1#中阴-0.04%;2#大阳+0.08%;3#中阳+0.03%;4#大阳+0.06%;5#大阳+0.06%,大阴
8,5,5,2026-03-21 00:36:00,134320.0,2026-03-21 00:38:00,134290.0,2,-0.022334723049434187,False,0.022334723049434187,True,1#长下影阴-0.01%;2#长上影阳+0.01%;3#中阳+0.02%;4#小阳+0.01%;5#T字+0.00%,倒T
9,5,5,2026-03-19 00:10:00,134290.0,2026-03-19 00:13:00,134230.0,3,-0.04467942512473006,False,0.04467942512473006,True,1#大阴-0.03%;2#长上影阳+0.01%;3#大阳+0.03%;4#长上影阳+0.02%;5#长下影阴-0.01%,大阴
9,5,5,2026-03-19 00:18:00,134480.0,2026-03-19 00:21:00,134520.0,3,0.0297441998810232,True,-0.0297441998810232,False,1#长下影阴-0.01%;2#大阳+0.07%;3#中阳+0.01%;4#大阳+0.11%;5#长上影阳+0.01%,大阴
9,5,5,2026-03-19 09:51:00,131850.0,2026-03-19 09:54:00,132030.0,3,0.13651877133105803,True,-0.13651877133105803,False,1#大阴-0.09%;2#大阳+0.12%;3#大阳+0.08%;4#中阳+0.03%;5#中阳+0.02%,中阴
9,5,5,2026-03-19 10:35:00,132120.0,2026-03-19 10:38:00,132300.0,3,0.13623978201634876,True,-0.13623978201634876,False,1#中阴-0.03%;2#十字星+0.01%;3#大阳+0.06%;4#大阳+0.06%;5#大阳+0.08%,十字星
9,5,5,2026-03-19 10:36:00,132250.0,2026-03-19 10:39:00,132160.0,3,-0.06805293005671079,False,0.06805293005671079,True,1#十字星+0.01%;2#大阳+0.06%;3#大阳+0.06%;4#大阳+0.08%;5#十字星+0.00%,大阳
9,5,5,2026-03-19 10:37:00,132370.0,2026-03-19 10:40:00,132180.0,3,-0.14353705522399335,False,0.14353705522399335,True,1#大阳+0.06%;2#大阳+0.06%;3#大阳+0.08%;4#十字星+0.00%;5#大阳+0.10%,大阳
