combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阳线_5K,5,2026-03-19 00:50:00,2026-03-19 00:54:00,610.0,0.1705673461398652,True,-610.0,-0.1705673461398652,False
震荡_阳线_5K,5,2026-03-19 00:51:00,2026-03-19 00:55:00,560.0,0.1565251418509098,True,-560.0,-0.1565251418509098,False
震荡_阳线_5K,5,2026-03-19 00:52:00,2026-03-19 00:56:00,210.0,0.058690366395573075,True,-210.0,-0.058690366395573075,False
震荡_阴线_5K,5,2026-03-19 00:53:00,2026-03-19 00:57:00,250.0,0.06984605928533512,True,-250.0,-0.06984605928533512,False
震荡_阴线_5K,5,2026-03-19 00:54:00,2026-03-19 00:58:00,-120.0,-0.0334924223394457,False,120.0,0.0334924223394457,True
震荡_星线_5K,5,2026-03-19 00:55:00,2026-03-19 00:59:00,-20.0,-0.005582849486377847,False,20.0,0.005582849486377847,True
震荡_阴线_5K,5,2026-03-19 00:56:00,2026-03-19 01:00:00,-470.0,-0.1311640108280077,False,470.0,0.1311640108280077,True
震荡_星线_5K,5,2026-03-19 00:57:00,2026-03-19 09:01:00,-1930.0,-0.5389555989946943,False,1930.0,0.5389555989946943,True
震荡_星线_5K,5,2026-03-19 00:58:00,2026-03-19 09:02:00,-1570.0,-0.438327098107097,False,1570.0,0.438327098107097,True
震荡_星线_5K,5,2026-03-19 00:59:00,2026-03-19 09:03:00,-1750.0,-0.4885538805136795,False,1750.0,0.4885538805136795,True
震荡_阴线_5K,5,2026-03-19 01:00:00,2026-03-19 09:04:00,-2040.0,-0.5694824409580704,False,2040.0,0.5694824409580704,True
震荡_阴线_5K,5,2026-03-19 09:01:00,2026-03-19 09:05:00,-1900.0,-0.5337078651685393,False,1900.0,0.5337078651685393,True
震荡_阴线_5K,5,2026-03-19 09:02:00,2026-03-19 09:06:00,-3360.0,-0.9433697391694976,False,3360.0,0.9433697391694976,True
震荡_阴线_5K,5,2026-03-19 09:03:00,2026-03-19 09:07:00,-3490.0,-0.9784406627603801,False,3490.0,0.9784406627603801,True
震荡_阴线_5K,5,2026-03-19 09:04:00,2026-03-19 09:08:00,-3770.0,-1.0575331706359226,False,3770.0,1.0575331706359226,True
震荡_阴线_5K,5,2026-03-19 09:05:00,2026-03-19 09:09:00,-2740.0,-0.7693171608265947,False,2740.0,0.7693171608265947,True
